id_caja,peso,descripcion
216,6.9,Fragil
217,5.8,Sin descripcion
218,4.2,Sin descripcion
219,7.6,Sin descripcion
220,2.8,Fragil
221,5.6,Sin descripcion
222,7.7,Fragil
223,3.1,Sin descripcion
224,5.5,Fragil
225,8.5,Sin descripcion
226,1.8,Sin descripcion
227,4.6,Fragil
228,9.1,Fragil
229,9.6,Sin descripcion
230,5.7,Fragil
231,2.0,Fragil
232,3.9,Fragil
233,4.2,Fragil
234,1.6,Fragil
235,10.5,Fragil
236,5.1,Fragil
237,3.0,Fragil
238,9.4,Sin descripcion
239,2.5,Fragil
240,8.9,Fragil
241,8.7,Sin descripcion
242,1.6,Fragil
243,10.8,Sin descripcion
244,5.6,Sin descripcion
245,7.1,Sin descripcion
246,10.9,Fragil
247,3.8,Sin descripcion
248,1.2,Sin descripcion
249,10.8,Fragil
250,7.7,Sin descripcion
251,7.4,Sin descripcion
252,6.3,Fragil
253,8.7,Fragil
254,3.3,Fragil
255,1.2,Fragil
256,4.3,Sin descripcion
257,10.1,Fragil
258,8.4,Sin descripcion
259,2.5,Fragil
260,1.3,Sin descripcion
261,3.1,Sin descripcion
262,6.9,Sin descripcion
263,3.0,Sin descripcion
264,3.0,Fragil
265,10.7,Fragil
266,9.9,Sin descripcion
267,7.8,Sin descripcion
268,9.8,Sin descripcion
269,4.6,Fragil
270,9.1,Sin descripcion
271,7.1,Sin descripcion
272,1.5,Sin descripcion
273,4.6,Fragil
274,9.9,Sin descripcion
275,1.8,Sin descripcion
276,4.4,Sin descripcion
277,8.8,Sin descripcion
278,2.7,Sin descripcion
279,7.7,Fragil
280,5.9,Fragil
281,6.9,Sin descripcion
282,3.1,Sin descripcion
283,4.0,Sin descripcion
284,4.8,Sin descripcion
285,8.6,Sin descripcion
286,1.7,Sin descripcion
287,4.6,Fragil
288,7.9,Sin descripcion
289,1.9,Sin descripcion
290,9.1,Fragil
291,4.1,Sin descripcion
292,2.7,Sin descripcion
293,6.6,Sin descripcion
294,1.4,Sin descripcion
295,1.1,Fragil
296,3.4,Sin descripcion
297,9.8,Fragil
298,2.1,Sin descripcion
299,8.6,Fragil
300,9.4,Sin descripcion
301,3.5,Fragil
302,6.4,Fragil
303,2.3,Sin descripcion
304,5.4,Sin descripcion
305,3.3,Sin descripcion
306,2.0,Fragil
307,8.3,Fragil
308,10.0,Sin descripcion
309,3.2,Sin descripcion
310,9.2,Sin descripcion
311,2.8,Sin descripcion
312,5.1,Fragil
313,9.6,Sin descripcion
314,10.5,Sin descripcion
315,5.7,Fragil
316,5.5,Sin descripcion
317,5.6,Sin descripcion
318,3.8,Fragil
319,9.2,Fragil
320,10.2,Sin descripcion
321,10.9,Fragil
322,6.8,Fragil
323,6.2,Sin descripcion
324,8.0,Fragil
325,10.5,Sin descripcion
326,5.0,Sin descripcion
327,8.1,Sin descripcion
328,6.9,Sin descripcion
329,2.1,Fragil
330,3.4,Sin descripcion
331,5.9,Sin descripcion
332,10.2,Fragil
333,3.7,Fragil
334,10.0,Sin descripcion
335,7.5,Sin descripcion
336,4.0,Sin descripcion
337,6.2,Sin descripcion
338,7.9,Sin descripcion
339,3.8,Sin descripcion
340,6.9,Sin descripcion
341,5.1,Sin descripcion
342,9.7,Sin descripcion
343,1.8,Fragil
344,4.4,Fragil
345,3.7,Fragil
346,7.5,Fragil
347,1.4,Sin descripcion
348,10.7,Fragil
349,2.8,Sin descripcion
350,7.8,Sin descripcion
351,1.6,Sin descripcion
352,10.5,Sin descripcion
353,1.1,Sin descripcion
354,4.3,Sin descripcion
355,1.4,Sin descripcion
356,1.2,Sin descripcion
357,8.4,Fragil
358,6.9,Fragil
359,3.8,Fragil
360,9.9,Sin descripcion
361,5.5,Sin descripcion
362,4.4,Sin descripcion
363,4.8,Fragil
364,9.9,Fragil
365,6.6,Fragil
366,5.8,Sin descripcion
367,10.8,Fragil
368,4.1,Sin descripcion
369,5.4,Fragil
370,7.0,Sin descripcion
371,9.5,Fragil
372,4.1,Fragil
373,2.4,Sin descripcion
374,2.4,Sin descripcion
375,8.0,Fragil
376,7.1,Sin descripcion
377,6.3,Sin descripcion
378,1.4,Fragil
379,6.7,Fragil
380,8.7,Sin descripcion
381,3.1,Sin descripcion
382,1.1,Sin descripcion
383,3.7,Sin descripcion
384,9.9,Sin descripcion
385,1.0,Fragil
386,6.8,Sin descripcion
387,4.4,Sin descripcion
388,2.3,Sin descripcion
389,6.4,Sin descripcion
390,1.7,Sin descripcion
391,5.0,Fragil
392,2.4,Fragil
393,10.0,Fragil
394,1.4,Sin descripcion
395,7.8,Fragil
396,4.0,Fragil
397,9.3,Fragil
398,9.9,Fragil
399,6.0,Fragil
400,2.6,Sin descripcion
401,10.7,Fragil
402,2.1,Sin descripcion
403,5.9,Fragil
404,10.5,Fragil
405,9.7,Fragil
406,8.0,Sin descripcion
407,7.4,Fragil
408,4.7,Sin descripcion
409,9.1,Sin descripcion
410,6.7,Sin descripcion
411,5.8,Sin descripcion
412,8.3,Sin descripcion
413,2.1,Fragil
414,10.4,Sin descripcion
415,5.2,Sin descripcion
416,7.3,Fragil
417,7.3,Fragil
418,7.9,Fragil
419,2.9,Sin descripcion
420,3.6,Sin descripcion
421,10.0,Fragil
422,1.8,Fragil
423,5.4,Sin descripcion
424,3.1,Sin descripcion
425,5.3,Fragil
426,7.7,Fragil
427,10.6,Fragil
428,5.9,Sin descripcion
429,1.1,Sin descripcion
430,4.5,Fragil
431,8.2,Sin descripcion
432,9.6,Fragil
433,5.9,Fragil
434,10.7,Fragil
435,1.3,Sin descripcion
436,1.5,Sin descripcion
437,8.8,Sin descripcion
438,6.9,Sin descripcion
439,1.5,Fragil
440,10.6,Fragil
441,5.8,Sin descripcion
442,8.4,Sin descripcion
443,1.2,Sin descripcion
444,2.1,Sin descripcion
445,1.7,Sin descripcion
446,6.4,Fragil
447,10.2,Fragil
448,7.4,Sin descripcion
449,3.2,Sin descripcion
450,2.9,Sin descripcion
451,1.0,Fragil
452,1.9,Sin descripcion
453,5.8,Sin descripcion
454,4.0,Sin descripcion
455,8.5,Sin descripcion
456,1.4,Sin descripcion
457,4.9,Fragil
458,5.8,Fragil
459,6.5,Fragil
460,3.1,Sin descripcion
461,1.6,Sin descripcion
462,3.6,Fragil
463,7.3,Sin descripcion
464,10.3,Fragil
465,10.3,Fragil
466,8.1,Sin descripcion
467,8.4,Sin descripcion
468,4.5,Fragil
469,2.2,Fragil
470,9.6,Fragil
471,4.9,Fragil
472,6.8,Fragil
473,2.2,Fragil
474,1.7,Fragil
475,8.4,Fragil
476,5.7,Sin descripcion
477,8.2,Sin descripcion
478,10.9,Fragil
479,7.0,Fragil
480,7.6,Sin descripcion
481,8.7,Fragil
482,8.1,Fragil
483,7.1,Sin descripcion
484,6.0,Sin descripcion
485,9.1,Sin descripcion
486,5.7,Fragil
487,6.4,Sin descripcion
488,2.6,Sin descripcion
489,8.8,Sin descripcion
490,10.3,Sin descripcion
491,6.5,Fragil
492,5.5,Sin descripcion
493,1.1,Sin descripcion
494,7.1,Sin descripcion
495,4.0,Fragil
496,7.2,Fragil
497,4.7,Sin descripcion
498,8.2,Sin descripcion
499,8.4,Fragil
500,5.6,Fragil
501,1.6,Fragil
502,6.1,Fragil
503,2.6,Sin descripcion
504,2.7,Fragil
505,7.3,Sin descripcion
506,7.2,Sin descripcion
507,8.0,Fragil
508,7.9,Sin descripcion
509,5.3,Sin descripcion
510,10.1,Fragil
511,4.0,Sin descripcion
512,1.5,Sin descripcion
513,6.4,Fragil
514,10.4,Fragil
515,7.6,Fragil
516,3.4,Fragil
517,9.7,Fragil
518,5.9,Sin descripcion
519,10.4,Fragil
520,1.5,Sin descripcion
521,6.6,Sin descripcion
522,7.7,Fragil
523,8.1,Fragil
524,3.5,Sin descripcion
525,1.4,Fragil
526,4.6,Fragil
527,2.1,Sin descripcion
528,3.4,Sin descripcion
529,7.7,Fragil
530,7.7,Fragil
531,3.0,Fragil
532,5.0,Fragil
533,2.9,Sin descripcion
534,2.1,Sin descripcion
535,9.5,Fragil
536,3.3,Fragil
537,4.5,Fragil
538,5.8,Fragil
539,9.0,Fragil
540,8.9,Sin descripcion
541,1.4,Fragil
542,6.9,Sin descripcion
543,8.5,Fragil
544,2.3,Fragil
545,2.2,Fragil
546,5.8,Sin descripcion
547,6.1,Fragil
548,6.4,Sin descripcion
549,10.9,Fragil
550,9.7,Sin descripcion
551,2.1,Fragil
552,4.8,Sin descripcion
553,9.4,Fragil
554,6.3,Sin descripcion
555,6.6,Sin descripcion
556,9.7,Sin descripcion
557,4.4,Sin descripcion
558,5.8,Sin descripcion
559,8.8,Fragil
560,3.0,Sin descripcion
561,3.3,Fragil
562,7.9,Fragil
563,5.4,Sin descripcion
564,5.4,Sin descripcion
565,9.9,Sin descripcion
566,9.7,Sin descripcion
567,6.1,Fragil
568,10.3,Fragil
569,10.3,Fragil
570,1.9,Sin descripcion
571,8.0,Sin descripcion
572,5.5,Sin descripcion
573,1.8,Sin descripcion
574,1.6,Sin descripcion
575,10.0,Fragil
576,9.1,Sin descripcion
577,1.4,Sin descripcion
578,5.5,Fragil
579,2.3,Fragil
580,5.5,Fragil
581,10.4,Sin descripcion
582,9.8,Sin descripcion
583,3.7,Fragil
584,9.5,Sin descripcion
585,5.2,Sin descripcion
586,7.3,Fragil
587,3.3,Fragil
588,3.8,Fragil
589,1.8,Fragil
590,5.4,Sin descripcion
591,3.1,Sin descripcion
592,4.5,Fragil
593,5.7,Fragil
594,2.8,Sin descripcion
595,6.2,Fragil
596,10.6,Fragil
597,5.6,Fragil
598,9.0,Fragil
599,7.4,Fragil
600,2.2,Sin descripcion
601,2.4,Fragil
602,4.1,Sin descripcion
603,6.0,Fragil
604,1.7,Fragil
605,7.5,Sin descripcion
606,10.2,Fragil
607,9.8,Sin descripcion
608,3.7,Sin descripcion
609,8.8,Fragil
610,10.4,Fragil
611,5.6,Fragil
612,1.0,Fragil
613,9.6,Sin descripcion
614,10.3,Fragil
615,10.9,Fragil
616,4.0,Sin descripcion
617,10.8,Fragil
618,8.2,Sin descripcion
619,1.2,Sin descripcion
620,10.1,Sin descripcion
621,9.3,Fragil
622,2.3,Fragil
623,3.2,Sin descripcion
624,7.5,Sin descripcion
625,4.4,Fragil
626,8.2,Fragil
627,6.2,Sin descripcion
628,10.6,Fragil
629,10.9,Fragil
630,8.9,Fragil
631,6.6,Fragil
632,8.5,Sin descripcion
633,1.5,Fragil
634,8.3,Fragil
635,5.8,Fragil
636,4.6,Sin descripcion
637,10.7,Fragil
638,9.1,Fragil
639,10.8,Sin descripcion
640,6.6,Sin descripcion
641,6.8,Fragil
642,2.3,Fragil
643,10.5,Fragil
644,8.8,Sin descripcion
645,9.4,Fragil
646,6.6,Fragil
647,9.3,Sin descripcion
648,1.7,Sin descripcion
649,10.8,Fragil
650,1.0,Fragil
651,2.1,Fragil
652,2.8,Sin descripcion
653,5.2,Fragil
654,7.4,Sin descripcion
655,1.3,Sin descripcion
656,10.8,Fragil
657,5.9,Sin descripcion
658,4.2,Sin descripcion
659,10.0,Sin descripcion
660,2.1,Sin descripcion
661,1.0,Sin descripcion
662,1.9,Sin descripcion
663,8.5,Fragil
664,5.3,Sin descripcion
665,8.6,Sin descripcion
666,2.5,Fragil
667,9.6,Fragil
668,6.4,Fragil
669,4.4,Fragil
670,1.4,Sin descripcion
671,5.4,Fragil
672,9.5,Fragil
673,5.9,Sin descripcion
674,7.5,Sin descripcion
675,4.6,Sin descripcion
676,6.3,Fragil
677,9.0,Fragil
678,10.0,Sin descripcion
679,1.5,Fragil
680,10.2,Fragil
681,6.6,Fragil
682,2.6,Sin descripcion
683,7.8,Fragil
684,2.8,Fragil
685,5.2,Fragil
686,3.1,Fragil
687,2.9,Sin descripcion
688,6.2,Fragil
689,8.9,Sin descripcion
690,10.6,Sin descripcion
691,8.2,Sin descripcion
692,6.2,Sin descripcion
693,4.0,Fragil
694,6.4,Fragil
695,7.3,Sin descripcion
696,3.6,Fragil
697,2.5,Sin descripcion
698,4.9,Fragil
699,5.1,Sin descripcion
700,1.2,Sin descripcion
701,9.0,Sin descripcion
702,6.9,Fragil
703,9.3,Fragil
704,1.0,Sin descripcion
705,1.6,Sin descripcion
706,6.4,Sin descripcion
707,2.5,Fragil
708,9.8,Fragil
709,8.9,Fragil
710,4.4,Sin descripcion
711,10.9,Sin descripcion
712,3.5,Sin descripcion
713,4.1,Sin descripcion
714,10.5,Sin descripcion
715,8.2,Sin descripcion
716,6.9,Sin descripcion
717,3.9,Fragil
718,2.9,Fragil
719,8.2,Fragil
720,5.8,Fragil
721,8.2,Sin descripcion
722,9.0,Fragil
723,3.8,Fragil
724,5.8,Sin descripcion
725,2.0,Sin descripcion
726,8.1,Sin descripcion
727,4.3,Sin descripcion
728,3.0,Sin descripcion
729,4.8,Sin descripcion
730,7.3,Fragil
731,5.1,Sin descripcion
732,2.1,Sin descripcion
733,9.2,Fragil
734,8.2,Sin descripcion
735,1.0,Sin descripcion
736,1.5,Fragil
737,3.9,Fragil
738,10.3,Sin descripcion
739,9.3,Sin descripcion
740,10.2,Sin descripcion
741,5.4,Sin descripcion
742,10.0,Sin descripcion
743,4.0,Fragil
744,10.0,Sin descripcion
745,1.3,Sin descripcion
746,10.4,Fragil
747,7.3,Sin descripcion
748,4.1,Sin descripcion
749,5.3,Fragil
750,4.8,Sin descripcion
751,4.0,Sin descripcion
752,5.9,Fragil
753,1.4,Fragil
754,3.4,Fragil
755,3.6,Sin descripcion
756,2.2,Sin descripcion
757,10.9,Fragil
758,8.3,Fragil
759,2.0,Sin descripcion
760,6.1,Sin descripcion
761,8.5,Fragil
762,4.4,Fragil
763,2.9,Fragil
764,5.1,Fragil
765,4.5,Sin descripcion
766,5.0,Sin descripcion
767,8.1,Sin descripcion
768,9.7,Sin descripcion
769,9.3,Sin descripcion
770,6.8,Fragil
771,1.5,Sin descripcion
772,7.4,Sin descripcion
773,4.4,Fragil
774,10.5,Sin descripcion
775,8.8,Fragil
776,6.3,Sin descripcion
777,8.4,Sin descripcion
778,6.1,Sin descripcion
779,4.1,Sin descripcion
780,1.4,Fragil
781,1.4,Fragil
782,9.4,Sin descripcion
783,7.7,Sin descripcion
784,10.7,Fragil
785,8.9,Sin descripcion
786,4.6,Fragil
787,9.2,Sin descripcion
788,10.7,Fragil
789,2.6,Fragil
790,1.7,Sin descripcion
791,3.5,Sin descripcion
792,4.8,Fragil
793,4.9,Fragil
794,6.9,Fragil
795,10.8,Sin descripcion
796,9.4,Fragil
797,9.6,Fragil
798,9.4,Sin descripcion
799,9.7,Sin descripcion
800,1.3,Sin descripcion
801,2.0,Sin descripcion
802,5.4,Sin descripcion
803,2.1,Sin descripcion
804,10.2,Sin descripcion
805,9.2,Fragil
806,3.3,Fragil
807,4.3,Sin descripcion
808,1.5,Sin descripcion
809,5.6,Sin descripcion
810,10.5,Sin descripcion
811,4.0,Fragil
812,9.5,Sin descripcion
813,4.8,Sin descripcion
814,8.0,Fragil
815,1.5,Sin descripcion
816,7.5,Sin descripcion
817,1.9,Sin descripcion
818,1.9,Fragil
819,9.9,Sin descripcion
820,1.4,Fragil
821,7.7,Fragil
822,1.4,Sin descripcion
823,7.4,Fragil
824,10.1,Sin descripcion
825,10.3,Fragil
826,9.5,Sin descripcion
827,8.3,Sin descripcion
828,7.2,Fragil
829,2.8,Fragil
830,8.2,Fragil
831,8.5,Fragil
832,5.6,Fragil
833,2.0,Sin descripcion
834,1.6,Sin descripcion
835,2.1,Fragil
836,5.2,Sin descripcion
837,5.4,Sin descripcion
838,6.6,Fragil
839,5.6,Sin descripcion
840,5.4,Fragil
841,2.0,Sin descripcion
842,8.0,Sin descripcion
843,7.5,Fragil
844,10.3,Sin descripcion
845,7.1,Sin descripcion
846,4.6,Sin descripcion
847,8.1,Sin descripcion
848,5.9,Sin descripcion
849,10.9,Fragil
850,4.2,Sin descripcion
851,6.1,Sin descripcion
852,10.6,Fragil
853,9.3,Sin descripcion
854,2.6,Sin descripcion
855,5.9,Fragil
856,3.0,Fragil
857,8.8,Sin descripcion
858,4.7,Sin descripcion
859,3.6,Fragil
860,2.7,Fragil
861,7.2,Fragil
862,5.1,Sin descripcion
863,10.2,Fragil
864,6.1,Sin descripcion
865,9.0,Sin descripcion
866,2.3,Sin descripcion
867,2.6,Sin descripcion
868,7.3,Sin descripcion
869,10.7,Fragil
870,7.1,Sin descripcion
871,1.3,Fragil
872,3.7,Sin descripcion
873,4.1,Sin descripcion
874,7.2,Fragil
875,7.9,Sin descripcion
876,3.3,Sin descripcion
877,9.3,Sin descripcion
878,6.5,Fragil
879,9.3,Sin descripcion
880,1.3,Fragil
881,3.2,Sin descripcion
882,7.6,Fragil
883,1.4,Sin descripcion
884,5.0,Sin descripcion
885,7.5,Sin descripcion
886,2.2,Fragil
887,9.2,Sin descripcion
888,1.0,Fragil
889,1.8,Sin descripcion
890,7.5,Fragil
891,7.3,Fragil
892,10.9,Fragil
893,9.8,Sin descripcion
894,2.1,Fragil
895,10.7,Fragil
896,4.6,Sin descripcion
897,9.8,Fragil
898,1.6,Fragil
899,1.7,Fragil
900,2.8,Sin descripcion
901,9.0,Fragil
902,6.4,Sin descripcion
903,8.2,Sin descripcion
904,3.8,Sin descripcion
905,9.0,Sin descripcion
906,8.8,Fragil
907,4.4,Fragil
908,4.8,Fragil
909,7.0,Fragil
910,7.8,Fragil
911,3.5,Fragil
912,4.7,Sin descripcion
913,9.8,Sin descripcion
914,4.3,Sin descripcion
915,5.2,Fragil
916,1.7,Fragil
917,1.0,Sin descripcion
918,7.5,Sin descripcion
919,1.8,Fragil
920,3.4,Sin descripcion
921,1.1,Fragil
922,8.8,Sin descripcion
923,6.2,Sin descripcion
924,3.2,Fragil
925,3.9,Sin descripcion
926,6.3,Sin descripcion
927,10.2,Fragil
928,9.6,Fragil
929,8.1,Sin descripcion
930,3.2,Sin descripcion
931,8.5,Fragil
932,2.6,Sin descripcion
933,8.8,Fragil
934,9.4,Fragil
935,9.3,Sin descripcion
936,10.3,Sin descripcion
937,1.2,Fragil
938,6.6,Fragil
939,10.6,Sin descripcion
940,10.4,Fragil
941,9.1,Sin descripcion
942,9.9,Sin descripcion
943,10.5,Fragil
944,5.4,Fragil
945,4.9,Fragil
946,2.7,Sin descripcion
947,2.1,Sin descripcion
948,2.2,Sin descripcion
949,3.6,Fragil
950,2.1,Sin descripcion
951,5.8,Fragil
952,2.2,Sin descripcion
953,1.0,Fragil
954,1.6,Fragil
955,6.3,Fragil
956,3.8,Sin descripcion
957,10.6,Sin descripcion
958,2.1,Fragil
959,10.8,Fragil
960,2.7,Fragil
961,5.6,Sin descripcion
962,4.5,Fragil
963,3.4,Sin descripcion
964,4.2,Fragil
965,10.1,Sin descripcion
966,3.5,Fragil
967,10.1,Fragil
968,10.0,Fragil
969,9.3,Fragil
970,5.8,Sin descripcion
971,1.4,Sin descripcion
972,5.7,Fragil
973,10.3,Fragil
974,6.3,Fragil
975,3.9,Fragil
976,5.4,Fragil
977,10.4,Fragil
978,6.3,Fragil
979,7.7,Sin descripcion
980,10.1,Fragil
981,4.6,Fragil
982,2.1,Fragil
983,1.0,Sin descripcion
984,1.7,Sin descripcion
985,2.6,Sin descripcion
986,9.0,Fragil
987,2.7,Fragil
988,7.8,Sin descripcion
989,1.1,Fragil
990,7.0,Fragil
991,9.7,Fragil
992,8.9,Fragil
993,7.6,Fragil
994,2.2,Sin descripcion
995,1.3,Fragil
996,9.7,Fragil
997,4.0,Sin descripcion
998,6.3,Sin descripcion
999,4.3,Fragil
1000,2.3,Sin descripcion
1001,10.8,Fragil
1002,10.4,Sin descripcion
1003,4.6,Fragil
1004,6.8,Fragil
1005,2.7,Sin descripcion
1006,10.5,Fragil
1007,9.7,Sin descripcion
1008,2.7,Sin descripcion
1009,7.1,Sin descripcion
1010,2.8,Sin descripcion
1011,2.2,Fragil
1012,3.8,Fragil
1013,4.7,Fragil
1014,10.7,Sin descripcion
1015,7.5,Sin descripcion
1016,6.8,Fragil
1017,3.3,Fragil
1018,5.9,Sin descripcion
1019,5.2,Fragil
1020,4.5,Fragil
1021,8.6,Fragil
1022,10.6,Fragil
1023,1.4,Sin descripcion
1024,10.6,Fragil
1025,4.6,Sin descripcion
1026,3.6,Sin descripcion
1027,7.9,Sin descripcion
1028,10.1,Sin descripcion
1029,4.5,Fragil
1030,8.5,Sin descripcion
1031,8.8,Fragil
1032,6.9,Sin descripcion
1033,4.8,Sin descripcion
1034,9.7,Fragil
1035,9.4,Sin descripcion
1036,4.5,Fragil
1037,10.3,Sin descripcion
1038,5.5,Fragil
1039,4.5,Sin descripcion
1040,9.2,Fragil
1041,5.5,Sin descripcion
1042,9.0,Fragil
1043,1.0,Fragil
1044,4.8,Sin descripcion
1045,1.1,Fragil
1046,3.5,Fragil
1047,6.6,Sin descripcion
1048,6.1,Sin descripcion
1049,6.6,Sin descripcion
1050,7.1,Sin descripcion
1051,3.9,Fragil
1052,5.1,Sin descripcion
1053,10.6,Sin descripcion
1054,8.7,Sin descripcion
1055,5.5,Fragil
1056,7.7,Sin descripcion
1057,9.2,Fragil
1058,1.4,Fragil
1059,4.8,Sin descripcion
1060,6.0,Sin descripcion
1061,1.4,Sin descripcion
1062,2.3,Sin descripcion
1063,1.8,Fragil
1064,8.8,Fragil
1065,2.7,Fragil
1066,1.3,Fragil
1067,3.1,Sin descripcion
1068,2.0,Fragil
1069,3.7,Sin descripcion
1070,4.5,Sin descripcion
1071,4.7,Sin descripcion
1072,3.1,Sin descripcion
1073,1.4,Sin descripcion
1074,4.4,Sin descripcion
1075,2.0,Sin descripcion
1076,5.0,Fragil
1077,9.7,Sin descripcion
1078,8.4,Fragil
1079,7.7,Sin descripcion
1080,10.8,Sin descripcion
1081,4.6,Sin descripcion
1082,1.5,Sin descripcion
1083,5.0,Fragil
1084,1.3,Sin descripcion
1085,10.3,Fragil
1086,8.0,Sin descripcion
1087,10.0,Sin descripcion
1088,3.0,Sin descripcion
1089,10.5,Fragil
1090,1.2,Fragil
1091,5.0,Sin descripcion
1092,7.2,Sin descripcion
1093,8.6,Sin descripcion
1094,8.3,Sin descripcion
1095,5.4,Fragil
1096,3.3,Sin descripcion
1097,9.9,Fragil
1098,3.8,Sin descripcion
1099,5.3,Sin descripcion
1100,7.5,Fragil
1101,10.9,Fragil
1102,7.2,Fragil
1103,4.6,Fragil
