id,id_repartidor,fecha_emision,fecha_expiracion,tipo
111,111,09/05/2020,09/05/2025,Clase A5
76,76,21/05/2019,21/05/2024,Clase A4
158,158,02/12/2018,02/12/2023,Clase A4
7,7,24/03/2020,24/03/2025,Clase A4
38,38,24/02/2021,24/02/2026,Clase A4
19,19,07/05/2022,07/05/2027,Clase A4
198,198,30/12/2022,30/12/2027,Clase A4
126,126,28/05/2021,28/05/2026,Clase A4
104,104,05/02/2018,05/02/2023,Clase A5
95,95,04/12/2022,04/12/2027,Clase A5
109,109,21/11/2018,21/11/2023,Clase B
42,42,13/01/2019,13/01/2024,Clase A4
127,127,09/07/2022,09/07/2027,Clase A4
124,124,24/12/2020,24/12/2025,Clase C
20,20,02/09/2019,02/09/2024,Clase A5
47,47,01/07/2022,01/07/2027,Clase A4
161,161,12/05/2019,12/05/2024,Clase B
12,12,10/02/2022,10/02/2027,Clase A4
73,73,29/07/2021,29/07/2026,Clase B
17,17,06/01/2018,06/01/2023,Clase A4
87,87,11/04/2020,11/04/2025,Clase A4
89,89,08/09/2020,08/09/2025,Clase A4
190,190,10/11/2021,10/11/2026,Clase A4
182,182,10/05/2022,10/05/2027,Clase A4
62,62,17/12/2022,17/12/2027,Clase A4
130,130,21/06/2022,21/06/2027,Clase C
71,71,20/12/2019,20/12/2024,Clase A5
61,61,16/05/2020,16/05/2025,Clase A5
151,151,22/11/2022,22/11/2027,Clase B
133,133,12/11/2021,12/11/2026,Clase C
188,188,12/12/2021,12/12/2026,Clase C
186,186,26/01/2019,26/01/2024,Clase A5
101,101,09/08/2022,09/08/2027,Clase B
115,115,23/07/2021,23/07/2026,Clase A4
29,29,10/06/2022,10/06/2027,Clase A5
145,145,08/08/2019,08/08/2024,Clase B
180,180,14/12/2021,14/12/2026,Clase B
