id,nombre,precio,numero_cajas,tipo,tamaño,color,descripcion,dimensiones,material,carga,frecuencia,potencia,tension
3546,PLATSA,1110400,4,dormitorio,Grande,Violeta,Uno de los productos mas vendidos,,,,,,
2616,NORSBORG,1072000,3,living,,,,10x10x1,Madera,19,,,
1829,PÅHL,336000,2,dormitorio,Grande,Azul,Uno de los productos mas vendidos,,,,,,
2649,KVISTBRO,156000,1,living,,,,4x9x5,Madera,12,,,
1203,MARTIN,79200,5,living,,,,9x8x4,Plastico,24,,,
3340,BESTÅ,180000,3,living,,,,1x5x3,Madera,2,,,
571,JONAXEL,392000,2,dormitorio,Grande,Amarillo,Sin descripcion,,,,,,
3380,BAGGANÄS,17600,4,living,,,,5x5x1,Reciclado,1,,,
2117,HAVSTEN,180000,4,living,,,,7x5x1,Plastico,18,,,
2370,SÖDERHAMN,300000,4,living,,,,4x4x3,Organico,13,,,
891,MARKERAD,477600,1,living,,,,8x3x8,Madera,37,,,
3334,UPPLEVA,159200,5,living,,,,5x10x5,Madera,27,,,
1837,AGAM,156000,4,dormitorio,Grande,Rojo,Uno de los productos mas vendidos,,,,,,
1931,TROFAST,192000,4,dormitorio,Grande,Azul,Sin descripcion,,,,,,
1530,YPPERLIG,156000,4,living,,,,4x8x3,Organico,47,,,
1383,EKEDALEN,316000,5,living,,,,7x1x4,Reciclado,33,,,
1776,FLISAT,71200,2,dormitorio,Grande,Azul,Uno de los productos mas vendidos,,,,,,
2015,ÄPPLARÖ,596000,2,living,,,,1x5x9,Plastico,34,,,
2237,SÖDERHAMN,1316000,5,living,,,,9x1x8,Plastico,33,,,
2512,POÄNG,300000,4,living,,,,3x3x4,Madera,33,,,
3050,MÖRBYLÅNGA,1836000,5,living,,,,4x4x10,Plastico,39,,,
2116,HAVSTEN,2496000,4,living,,,,10x6x4,Reciclado,4,,,
2414,VALLENTUNA,6390400,2,living,,,,9x3x10,Plastico,40,,,
2185,MALSJÖ,1680000,5,living,,,,1x5x7,Reciclado,44,,,
2007,ASKHOLMEN,373600,5,living,,,,6x10x2,Reciclado,15,,,
2901,SKÖTSAM,20000,2,living,,,,7x8x5,Plastico,43,,,
2681,LINNMON / ALEX,440000,5,living,,,,4x3x5,Organico,18,,,
3201,NORDVIKEN / NORDVIKEN,1916000,3,living,,,,8x9x7,Madera,41,,,
3151,EKEDALEN,796000,2,living,,,,8x10x7,Reciclado,35,,,
697,KALLRÖR,20000,5,dormitorio,Grande,Rojo,Uno de los productos mas vendidos,,,,,,
2325,VALLENTUNA,3116800,4,living,,,,9x3x10,Organico,43,,,
2872,BEKANT,724000,4,living,,,,5x5x2,Reciclado,4,,,
3487,PLATSA,606400,1,dormitorio,Pequeño,Azul,Uno de los productos mas vendidos,,,,,,
3590,PAX,2368000,2,dormitorio,Mediano,Violeta,Sin descripcion,,,,,,
272,VITTSJÖ,196000,5,dormitorio,Mediano,Violeta,Uno de los productos mas vendidos,,,,,,
3617,PAX,2800000,5,dormitorio,Pequeño,Rojo,Uno de los productos mas vendidos,,,,,,
1629,JONAXEL,144000,1,dormitorio,Pequeño,Verde,Uno de los productos mas vendidos,,,,,,
2651,LINNMON / ADILS,95200,1,living,,,,4x7x8,Reciclado,10,,,
1479,DELAKTIG,2160000,5,living,,,,9x6x3,Organico,45,,,
2828,LINNMON,180000,3,living,,,,8x9x2,Reciclado,45,,,
76,SLÄKT,796000,4,dormitorio,Grande,Amarillo,Sin descripcion,,,,,,
1444,RÅSKOG,140000,1,living,,,,4x2x5,Reciclado,7,,,
1892,BUSUNGE,516000,1,dormitorio,Mediano,Verde,Uno de los productos mas vendidos,,,,,,
3508,PLATSA,1418000,3,dormitorio,Mediano,Verde,Uno de los productos mas vendidos,,,,,,
3287,STOCKHOLM,1356000,5,living,,,,3x3x8,Reciclado,24,,,
2033,FALHOLMEN,332000,5,living,,,,3x9x6,Organico,30,,,
296,IVAR,456000,2,dormitorio,Pequeño,Verde,Sin descripcion,,,,,,
1725,NORDLI,864000,3,dormitorio,Pequeño,Verde,Sin descripcion,,,,,,
3485,PAX,1340000,1,dormitorio,Pequeño,Azul,Sin descripcion,,,,,,
2794,ÖNSKLIG,47200,1,living,,,,8x9x9,Plastico,26,,,
1697,JONAXEL,112000,1,dormitorio,Pequeño,Rojo,Uno de los productos mas vendidos,,,,,,
1920,TROFAST,328000,3,dormitorio,Mediano,Rojo,Sin descripcion,,,,,,
2903,KLIMPEN,1232000,4,living,,,,5x2x9,Madera,48,,,
3497,PAX,1496000,3,dormitorio,Pequeño,Verde,Uno de los productos mas vendidos,,,,,,
2297,KUNGSHAMN,48000,2,living,,,,9x8x7,Organico,41,,,
2556,GRÖNLID,476000,5,living,,,,6x9x8,Plastico,33,,,
2918,EKEDALEN,636000,5,living,,,,10x7x4,Madera,11,,,
1994,TÄRNÖ,44000,2,living,,,,2x1x7,Reciclado,43,,,
3527,PLATSA,1212800,2,dormitorio,Grande,Violeta,Uno de los productos mas vendidos,,,,,,
2412,NOCKEBY,516000,5,living,,,,3x7x5,Madera,15,,,
2642,VITTSJÖ,143200,1,living,,,,7x8x3,Organico,10,,,
1321,BÖRJE,140000,5,living,,,,8x10x7,Reciclado,16,,,
1879,STUVA / FRITIDS,1236000,1,dormitorio,Pequeño,Azul,Sin descripcion,,,,,,
2014,BUSSAN,420000,4,living,,,,5x3x9,Plastico,11,,,
3075,LINNMON / OLOV,300000,1,living,,,,6x3x1,Organico,39,,,
2371,VIMLE,2132000,4,living,,,,4x10x8,Madera,25,,,
392,JONAXEL,128000,4,dormitorio,Mediano,Rojo,Uno de los productos mas vendidos,,,,,,
2715,TÄRENDÖ / ADDE,228000,4,living,,,,8x3x9,Plastico,34,,,
3506,PAX,1712000,1,dormitorio,Pequeño,Verde,Uno de los productos mas vendidos,,,,,,
2563,LIDHULT,3872800,4,living,,,,8x6x2,Organico,43,,,
3559,PAX,2728000,1,dormitorio,Mediano,Rojo,Uno de los productos mas vendidos,,,,,,
1673,BUSUNGE,316000,5,dormitorio,Pequeño,Rojo,Uno de los productos mas vendidos,,,,,,
1811,TROFAST,44000,5,dormitorio,Mediano,Amarillo,Uno de los productos mas vendidos,,,,,,
3217,MÖRBYLÅNGA / VOLFGANG,3036000,5,living,,,,10x9x7,Reciclado,21,,,
3721,Tira LED 15 metros RGB,59990,1,iluminacion,,RGB,Bajo consumo,,,,50,108,12
3723,Foco LED para exteriores 30W,8990,8,iluminacion,,Blanco frío,Fragil,,,,50,30,220
2697,LÖVBACKEN,239200,1,living,,,,6x8x1,Organico,11,,,
3630,PAX,1928000,1,dormitorio,Mediano,Verde,Sin descripcion,,,,,,
2072,SJÄLLAND,508800,1,living,,,,9x1x5,Reciclado,35,,,
3109,MÖRBYLÅNGA / BERNHARD,5572000,4,living,,,,10x1x5,Reciclado,1,,,
3295,LIATORP,912000,3,living,,,,4x6x7,Plastico,25,,,
1833,INGOLF,220000,5,dormitorio,Pequeño,Azul,Uno de los productos mas vendidos,,,,,,
1025,BESTÅ,2672000,3,living,,,,7x4x2,Reciclado,37,,,
2305,VALLENTUNA,1558400,4,living,,,,7x3x6,Plastico,43,,,
1712,NORDLI,320000,4,dormitorio,Grande,Verde,Sin descripcion,,,,,,
2791,SUNDSTA,276000,5,living,,,,8x5x8,Reciclado,42,,,
2548,GRÖNLID,912000,2,living,,,,4x7x3,Organico,26,,,
3720,Downlight LED 18W,3990,15,iluminacion,,Blanco neutro,Fragil,,,,50,18,220
936,BESTÅ,1456000,3,living,,,,8x2x7,Plastico,44,,,
3457,BESTÅ,180000,1,living,,,,9x2x8,Organico,10,,,
430,BESTÅ,408000,3,dormitorio,Pequeño,Azul,Uno de los productos mas vendidos,,,,,,
1704,NORDLI,464000,5,dormitorio,Mediano,Rojo,Uno de los productos mas vendidos,,,,,,
3646,PAX,2152000,3,dormitorio,Grande,Azul,Sin descripcion,,,,,,
3090,LINNMON / ALEX,368000,1,living,,,,5x8x6,Plastico,20,,,
828,BRIMNES,316000,5,living,,,,5x4x9,Madera,15,,,
1552,MÖRBYLÅNGA / VOLFGANG,3796000,4,living,,,,1x10x4,Plastico,23,,,
71,HEMNES,1196000,3,dormitorio,Grande,Azul,Sin descripcion,,,,,,
509,KALLAX,604000,4,dormitorio,Mediano,Verde,Uno de los productos mas vendidos,,,,,,
1751,TROFAST,124000,3,dormitorio,Pequeño,Rojo,Sin descripcion,,,,,,
1942,STUVA / FÖLJA,788000,5,dormitorio,Grande,Violeta,Sin descripcion,,,,,,
1260,BOLMEN,17600,5,living,,,,2x4x9,Organico,37,,,
1813,STUVA / FRITIDS,332000,5,dormitorio,Pequeño,Violeta,Sin descripcion,,,,,,
2272,EKTORP,316000,2,living,,,,10x4x1,Madera,41,,,
1762,STUVA / FRITIDS,316000,5,dormitorio,Pequeño,Violeta,Sin descripcion,,,,,,
2302,DELAKTIG,160000,5,living,,,,8x5x4,Organico,37,,,
3453,TIMMERVIKEN,48000,3,living,,,,6x1x3,Reciclado,39,,,
3664,PAX,2492000,3,dormitorio,Pequeño,Amarillo,Sin descripcion,,,,,,
635,EKET,331200,4,dormitorio,Grande,Rojo,Uno de los productos mas vendidos,,,,,,
979,SINDVIK,100000,5,living,,,,4x5x2,Madera,13,,,
2531,KIVIK,2120000,4,living,,,,1x6x2,Madera,2,,,
3726,Panel LED 30x30 de superficie,4490,10,iluminacion,,Blanco frío,Bajo consumo,,,,50,12,220
3719,Tubo LED T5 90cm,6990,10,iluminacion,,Blanco frío,Bajo consumo,,,,50,14,220
1896,STUVA / FRITIDS,796000,5,dormitorio,Pequeño,Violeta,Uno de los productos mas vendidos,,,,,,
2751,KORNSJÖ,596000,3,living,,,,9x3x9,Plastico,38,,,
2137,HÅLLÖ,60000,4,living,,,,3x4x8,Organico,1,,,
953,HAVSTA,1560000,5,living,,,,2x8x9,Plastico,41,,,
2844,OLOV,40000,3,living,,,,7x1x7,Organico,50,,,
1301,DELAKTIG,1200000,3,living,,,,3x5x2,Organico,32,,,
331,BOTTNA,12000,2,dormitorio,Pequeño,Amarillo,Uno de los productos mas vendidos,,,,,,
3560,PAX,2956000,2,dormitorio,Grande,Azul,Uno de los productos mas vendidos,,,,,,
3348,FIXA,4480,4,living,,,,5x8x1,Madera,12,,,
3452,BJÄRRED,39200,4,living,,,,6x4x3,Madera,24,,,
2413,DELAKTIG,220000,2,living,,,,2x2x3,Plastico,41,,,
3490,NORDKISA,796000,3,dormitorio,Mediano,Azul,Uno de los productos mas vendidos,,,,,,
2107,FRÖSÖN/DUVHOLMEN,70400,4,living,,,,4x1x2,Organico,13,,,
1173,IKEA PS LÖMSK,276000,1,living,,,,7x1x10,Organico,13,,,
3569,PAX,4192000,3,dormitorio,Mediano,Azul,Sin descripcion,,,,,,
2521,DELAKTIG,220000,5,living,,,,4x3x9,Plastico,13,,,
2472,LIDHULT,160000,2,living,,,,2x6x10,Reciclado,44,,,
1456,NORRÅKER,116000,5,living,,,,10x6x9,Plastico,8,,,
2873,BEKANT,2360000,3,living,,,,4x4x10,Reciclado,2,,,
3540,SYVDE,356000,1,dormitorio,Grande,Violeta,Sin descripcion,,,,,,
1959,FREDÖN,180000,5,living,,,,3x1x5,Madera,27,,,
1291,ANTILOP,20000,1,living,,,,9x2x8,Reciclado,38,,,
3121,BEKANT,1467200,3,living,,,,9x1x9,Madera,24,,,
114,DELAKTIG,1756000,2,dormitorio,Grande,Amarillo,Uno de los productos mas vendidos,,,,,,
3605,PAX / AULI,1804000,1,dormitorio,Mediano,Violeta,Sin descripcion,,,,,,
2961,IDÅSEN,2276000,5,living,,,,8x5x3,Madera,38,,,
1369,IKEA PS 2012 / TEODORES,868000,5,living,,,,3x2x3,Plastico,2,,,
3593,PAX / TYSSEDAL,2552000,2,dormitorio,Pequeño,Violeta,Uno de los productos mas vendidos,,,,,,
1329,LANDSKRONA,2000000,5,living,,,,4x9x5,Reciclado,25,,,
2510,STOCKSUND,80000,5,living,,,,5x9x7,Reciclado,20,,,
1742,FÖRSIKTIG,12000,3,dormitorio,Grande,Rojo,Sin descripcion,,,,,,
749,HANVIKEN,80000,3,dormitorio,Pequeño,Violeta,Uno de los productos mas vendidos,,,,,,
3572,ELVARLI,352000,4,dormitorio,Mediano,Verde,Sin descripcion,,,,,,
2343,LANDSKRONA,80000,5,living,,,,5x6x3,Organico,25,,,
2861,ALEX,220000,2,living,,,,9x8x8,Reciclado,14,,,
409,VITTSJÖ,487200,1,dormitorio,Pequeño,Amarillo,Uno de los productos mas vendidos,,,,,,
3443,KALLRÖR,28000,3,living,,,,10x6x4,Madera,10,,,
3031,EKEDALEN / EKEDALEN,1356000,4,living,,,,4x1x3,Organico,8,,,
3502,HEMNES,238000,4,dormitorio,Mediano,Rojo,Sin descripcion,,,,,,
2064,FRÖSÖN/DUVHOLMEN,120000,2,living,,,,8x2x7,Madera,10,,,
3160,EKEDALEN / HENRIKSDAL,2212000,5,living,,,,10x1x6,Plastico,25,,,
3377,GLASSVIK,156000,3,living,,,,3x6x4,Madera,47,,,
3133,INGATORP,756000,1,living,,,,1x10x4,Reciclado,40,,,
2289,KIVIK,6636000,5,living,,,,6x3x7,Organico,5,,,
3447,VASSVIKEN,80000,5,living,,,,10x5x7,Plastico,34,,,
230,GRÖNLID,3512000,3,dormitorio,Grande,Azul,Uno de los productos mas vendidos,,,,,,
2822,KLIMPEN / LALLE,620000,2,living,,,,8x2x1,Plastico,1,,,
3046,TORSBY,716000,1,living,,,,4x8x10,Reciclado,32,,,
831,HEMNES,1116000,4,living,,,,4x8x6,Plastico,9,,,
2311,SÖDERHAMN,1896000,2,living,,,,5x6x8,Madera,47,,,
1916,STUVA / FRITIDS,796000,5,dormitorio,Pequeño,Verde,Uno de los productos mas vendidos,,,,,,
2417,LIDHULT,196000,4,living,,,,8x7x10,Plastico,31,,,
2915,STUVA / FRITIDS,648000,2,living,,,,6x3x3,Plastico,46,,,
59,NEIDEN,159200,2,dormitorio,Pequeño,Azul,Uno de los productos mas vendidos,,,,,,
3521,BUSUNGE,516000,1,dormitorio,Grande,Violeta,Uno de los productos mas vendidos,,,,,,
2640,LINNMON / ADILS,88800,4,living,,,,7x5x4,Plastico,26,,,
2501,RÖDEBY,55200,3,living,,,,9x6x2,Reciclado,15,,,
3250,FÖRHÖJA,516000,2,living,,,,8x6x10,Plastico,5,,,
3322,BESTÅ,1316000,1,living,,,,1x6x7,Organico,11,,,
2734,REGISSÖR,596000,4,living,,,,5x4x5,Organico,42,,,
2299,KUNGSHAMN,72000,5,living,,,,1x4x10,Madera,46,,,
3423,BESTÅ,24000,4,living,,,,2x3x4,Reciclado,42,,,
2591,STOCKSUND,80000,5,living,,,,9x10x4,Madera,29,,,
2772,HAVSTA,396000,2,living,,,,1x10x10,Reciclado,15,,,
3063,GAMLEBY,1036000,1,living,,,,5x2x8,Madera,16,,,
3592,PLATSA,582400,3,dormitorio,Grande,Violeta,Uno de los productos mas vendidos,,,,,,
2858,LINNMON / KRILLE,324000,4,living,,,,8x5x5,Plastico,33,,,
2518,LIDHULT,280000,4,living,,,,1x8x10,Plastico,6,,,
1902,TROFAST,280000,3,dormitorio,Grande,Amarillo,Sin descripcion,,,,,,
820,HEMNES,1276000,1,living,,,,2x2x5,Madera,8,,,
2833,BEKANT,88000,2,living,,,,2x3x6,Plastico,28,,,
1910,TROFAST,100000,2,dormitorio,Pequeño,Amarillo,Uno de los productos mas vendidos,,,,,,
965,BESTÅ,20000,5,living,,,,7x2x5,Plastico,27,,,
260,IVAR,1108000,4,dormitorio,Mediano,Rojo,Sin descripcion,,,,,,
12,NORRARYD,316000,5,living,,,,4x7x8,Reciclado,35,,,
1922,TROFAST,316000,5,dormitorio,Mediano,Violeta,Sin descripcion,,,,,,
1330,NORDVIKEN,180000,3,living,,,,2x5x4,Madera,45,,,
1887,TROFAST,156000,4,dormitorio,Grande,Azul,Sin descripcion,,,,,,
2103,FRÖSÖN,11520,1,living,,,,10x6x7,Plastico,5,,,
3149,NORRÅKER / NORRARYD,1308800,4,living,,,,2x9x6,Reciclado,38,,,
2868,LALLE,60000,3,living,,,,7x9x2,Reciclado,22,,,
1216,KOARP,660000,1,living,,,,3x6x10,Plastico,36,,,
2951,PÅHL,260000,4,living,,,,1x10x5,Organico,24,,,
116,LAUVIK,1940000,2,dormitorio,Pequeño,Verde,Sin descripcion,,,,,,
2164,RÅSKOG,151200,3,dormitorio,Grande,Verde,Uno de los productos mas vendidos,,,,,,
3096,LINNMON / KRILLE,380000,2,living,,,,3x10x1,Organico,35,,,
1849,TROFAST,12000,3,dormitorio,Pequeño,Verde,Sin descripcion,,,,,,
3421,BILLSBRO,15200,2,living,,,,3x8x9,Organico,14,,,
990,HÄLLAN,1120000,3,living,,,,4x5x1,Plastico,5,,,
2401,DELAKTIG,180000,3,living,,,,8x10x3,Reciclado,36,,,
3522,PAX,6704000,2,dormitorio,Pequeño,Amarillo,Sin descripcion,,,,,,
2840,LISABO,436000,5,living,,,,8x3x8,Organico,20,,,
741,IVAR,292000,3,dormitorio,Grande,Azul,Uno de los productos mas vendidos,,,,,,
3073,LISABO,556000,1,living,,,,10x1x8,Reciclado,10,,,
3676,ELVARLI,1917600,1,dormitorio,Mediano,Verde,Sin descripcion,,,,,,
3467,PLATSA,2192000,5,dormitorio,Mediano,Rojo,Uno de los productos mas vendidos,,,,,,
1737,UTTER,36000,5,dormitorio,Pequeño,Violeta,Uno de los productos mas vendidos,,,,,,
1505,JANINGE,180000,4,living,,,,4x2x6,Reciclado,15,,,
2416,KIVIK,316000,5,living,,,,8x6x6,Organico,14,,,
3475,PAX,1272000,1,dormitorio,Pequeño,Violeta,Uno de los productos mas vendidos,,,,,,
2804,NORDEN,719200,3,living,,,,8x1x2,Plastico,31,,,
1770,STUVA / FRITIDS,1236000,5,dormitorio,Grande,Amarillo,Uno de los productos mas vendidos,,,,,,
1860,SUNDVIK,556000,3,dormitorio,Mediano,Rojo,Uno de los productos mas vendidos,,,,,,
437,ÖSTERNÄS,39200,5,dormitorio,Pequeño,Rojo,Sin descripcion,,,,,,
2389,VALLENTUNA,92800,5,living,,,,6x6x7,Plastico,40,,,
523,SVALNÄS,80000,4,dormitorio,Pequeño,Violeta,Sin descripcion,,,,,,
2666,HOL,316000,2,living,,,,3x7x10,Madera,11,,,
3366,LAPPVIKEN,36000,4,living,,,,6x4x6,Organico,39,,,
451,JONAXEL,156000,2,dormitorio,Mediano,Violeta,Uno de los productos mas vendidos,,,,,,
1370,RÅSKOG,67200,4,living,,,,5x1x8,Plastico,36,,,
2784,BESTÅ BURS,716000,4,living,,,,6x2x2,Plastico,36,,,
2668,BERGENES,7200,1,living,,,,5x5x6,Plastico,24,,,
1757,SUNDVIK,140000,1,dormitorio,Mediano,Azul,Uno de los productos mas vendidos,,,,,,
1810,SUNDVIK,876000,3,dormitorio,Mediano,Rojo,Uno de los productos mas vendidos,,,,,,
2896,TYSSEDAL,316000,1,living,,,,2x2x6,Madera,12,,,
2601,GRÖNLID,4560000,1,living,,,,6x7x8,Organico,16,,,
3039,EKEDALEN,636000,1,living,,,,10x2x1,Organico,49,,,
3164,NORRÅKER / NORRÅKER,1108000,3,living,,,,4x3x9,Madera,9,,,
1828,POÄNG,107200,3,dormitorio,Mediano,Violeta,Sin descripcion,,,,,,
2958,EKEDALEN,636800,4,living,,,,10x6x10,Madera,35,,,
3034,EKEDALEN / EKEDALEN,1876000,1,living,,,,4x9x9,Madera,37,,,
2749,LINNMON,47200,3,living,,,,5x10x5,Organico,10,,,
997,HÄLLAN,2220000,3,living,,,,7x3x6,Plastico,26,,,
