id,id_personal,fecha_emision,fecha_expiracion,tipo
48,48,20/05/2018,20/05/2023,Clase C
152,152,17/06/2022,17/06/2027,Clase C
143,143,25/06/2022,25/06/2027,Clase A5
60,60,16/05/2019,16/05/2024,Clase A5
154,154,15/05/2021,15/05/2026,Clase A5
14,14,13/10/2022,13/10/2027,Clase A4
92,92,19/08/2020,19/08/2025,Clase B
137,137,12/04/2018,12/04/2023,Clase A5
108,108,09/08/2021,09/08/2026,Clase C
27,27,29/04/2019,29/04/2024,Clase A4
181,181,17/11/2018,17/11/2023,Clase A4
22,22,23/08/2018,23/08/2023,Clase C
32,32,19/10/2018,19/10/2023,Clase C
150,150,09/09/2019,09/09/2024,Clase A4
162,162,02/02/2021,02/02/2026,Clase C
134,134,10/05/2020,10/05/2025,Clase B
128,128,03/02/2022,03/02/2027,Clase C
36,36,08/03/2022,08/03/2027,Clase C
50,50,01/11/2019,01/11/2024,Clase A4
46,46,28/01/2021,28/01/2026,Clase A5
193,193,10/02/2022,10/02/2027,Clase B
15,15,05/04/2022,05/04/2027,Clase B
59,59,20/05/2018,20/05/2023,Clase A5
128,128,03/02/2022,03/02/2027,Clase C
139,139,18/05/2021,18/05/2026,Clase C
125,125,26/12/2018,26/12/2023,Clase A5
162,162,02/02/2021,02/02/2026,Clase C
141,141,30/08/2021,30/08/2026,Clase C
149,149,08/10/2020,08/10/2025,Clase A4
100,100,16/05/2020,16/05/2025,Clase A4
53,53,17/02/2018,17/02/2023,Clase C
78,78,02/09/2019,02/09/2024,Clase C
125,125,26/12/2018,26/12/2023,Clase A5
173,173,07/10/2018,07/10/2023,Clase A4
15,15,05/04/2022,05/04/2027,Clase B
22,22,23/08/2018,23/08/2023,Clase C
44,44,15/11/2022,15/11/2027,Clase A5
39,39,25/04/2021,25/04/2026,Clase A4
169,169,28/06/2021,28/06/2026,Clase B
113,113,11/07/2020,11/07/2025,Clase C
80,80,20/12/2021,20/12/2026,Clase A5
105,105,04/05/2018,04/05/2023,Clase A4
83,83,17/06/2019,17/06/2024,Clase A4
118,118,07/01/2018,07/01/2023,Clase A5
107,107,22/11/2022,22/11/2027,Clase A5
78,78,02/09/2019,02/09/2024,Clase C
131,131,23/03/2021,23/03/2026,Clase B
30,30,31/08/2019,31/08/2024,Clase C
28,28,19/06/2022,19/06/2027,Clase A5
171,171,20/07/2018,20/07/2023,Clase A5
175,175,19/01/2021,19/01/2026,Clase B
157,157,15/04/2021,15/04/2026,Clase A5
25,25,08/10/2019,08/10/2024,Clase C
1,1,01/01/2020,01/01/2025,Clase C
57,57,11/06/2019,11/06/2024,Clase A4
23,23,28/10/2022,28/10/2027,Clase A4
196,196,04/05/2021,04/05/2026,Clase B
147,147,01/04/2019,01/04/2024,Clase A4
144,144,06/01/2018,06/01/2023,Clase C
53,53,17/02/2018,17/02/2023,Clase C
135,135,26/05/2018,26/05/2023,Clase B
37,37,15/03/2020,15/03/2025,Clase A5
98,98,28/10/2020,28/10/2025,Clase A5
120,120,06/06/2022,06/06/2027,Clase C
1,1,01/01/2020,01/01/2025,Clase C
170,170,16/10/2019,16/10/2024,Clase C
125,125,26/12/2018,26/12/2023,Clase A5
122,122,02/08/2021,02/08/2026,Clase B
149,149,08/10/2020,08/10/2025,Clase A4
171,171,20/07/2018,20/07/2023,Clase A5
3,3,18/12/2021,18/12/2026,Clase A5
100,100,16/05/2020,16/05/2025,Clase A4
3,3,18/12/2021,18/12/2026,Clase A5
67,67,09/06/2019,09/06/2024,Clase B
189,189,10/07/2021,10/07/2026,Clase C
35,35,07/02/2019,07/02/2024,Clase A5
129,129,01/05/2020,01/05/2025,Clase B
63,63,26/04/2019,26/04/2024,Clase B
82,82,05/07/2020,05/07/2025,Clase C
88,88,28/03/2022,28/03/2027,Clase A4
96,96,29/03/2022,29/03/2027,Clase B
140,140,13/01/2020,13/01/2025,Clase A4
153,153,17/05/2019,17/05/2024,Clase B
26,26,05/03/2019,05/03/2024,Clase A4
179,179,04/05/2022,04/05/2027,Clase A4
122,122,02/08/2021,02/08/2026,Clase B
163,163,07/09/2019,07/09/2024,Clase B
52,52,20/01/2019,20/01/2024,Clase A5
116,116,25/10/2018,25/10/2023,Clase B
176,176,23/05/2022,23/05/2027,Clase A5
70,70,23/07/2020,23/07/2025,Clase B
102,102,26/04/2021,26/04/2026,Clase A4
45,45,19/10/2019,19/10/2024,Clase A5
63,63,26/04/2019,26/04/2024,Clase B
175,175,19/01/2021,19/01/2026,Clase B
178,178,28/11/2018,28/11/2023,Clase A4
13,13,11/01/2022,11/01/2027,Clase B
112,112,02/08/2021,02/08/2026,Clase A4
136,136,09/03/2020,09/03/2025,Clase C
75,75,23/10/2019,23/10/2024,Clase A4
131,131,23/03/2021,23/03/2026,Clase B
21,21,15/01/2019,15/01/2024,Clase A4
111,111,09/05/2020,09/05/2025,Clase A5
50,50,01/11/2019,01/11/2024,Clase A4
76,76,21/05/2019,21/05/2024,Clase A4
158,158,02/12/2018,02/12/2023,Clase A4
91,91,19/12/2018,19/12/2023,Clase A4
141,141,30/08/2021,30/08/2026,Clase C
10,10,24/11/2021,24/11/2026,Clase B
144,144,06/01/2018,06/01/2023,Clase C
165,165,25/04/2022,25/04/2027,Clase B
174,174,11/02/2020,11/02/2025,Clase B
159,159,20/08/2020,20/08/2025,Clase A4
0,0,21/07/2022,21/07/2027,Clase A5
40,40,31/10/2018,31/10/2023,Clase C
7,7,24/03/2020,24/03/2025,Clase A4
143,143,25/06/2022,25/06/2027,Clase A5
187,187,12/01/2021,12/01/2026,Clase A4
179,179,04/05/2022,04/05/2027,Clase A4
183,183,27/02/2020,27/02/2025,Clase A4
38,38,24/02/2021,24/02/2026,Clase A4
178,178,28/11/2018,28/11/2023,Clase A4
98,98,28/10/2020,28/10/2025,Clase A5
44,44,15/11/2022,15/11/2027,Clase A5
15,15,05/04/2022,05/04/2027,Clase B
169,169,28/06/2021,28/06/2026,Clase B
72,72,24/08/2022,24/08/2027,Clase C
35,35,07/02/2019,07/02/2024,Clase A5
30,30,31/08/2019,31/08/2024,Clase C
4,4,22/02/2018,22/02/2023,Clase A5
102,102,26/04/2021,26/04/2026,Clase A4
92,92,19/08/2020,19/08/2025,Clase B
88,88,28/03/2022,28/03/2027,Clase A4
60,60,16/05/2019,16/05/2024,Clase A5
27,27,29/04/2019,29/04/2024,Clase A4
23,23,28/10/2022,28/10/2027,Clase A4
19,19,07/05/2022,07/05/2027,Clase A4
34,34,29/09/2018,29/09/2023,Clase A4
43,43,27/07/2020,27/07/2025,Clase B
1,1,01/01/2020,01/01/2025,Clase C
32,32,19/10/2018,19/10/2023,Clase C
139,139,18/05/2021,18/05/2026,Clase C
31,31,21/09/2020,21/09/2025,Clase A4
28,28,19/06/2022,19/06/2027,Clase A5
198,198,30/12/2022,30/12/2027,Clase A4
85,85,21/06/2018,21/06/2023,Clase A5
177,177,29/08/2019,29/08/2024,Clase A5
126,126,28/05/2021,28/05/2026,Clase A4
37,37,15/03/2020,15/03/2025,Clase A5
104,104,05/02/2018,05/02/2023,Clase A5
59,59,20/05/2018,20/05/2023,Clase A5
184,184,25/02/2019,25/02/2024,Clase B
67,67,09/06/2019,09/06/2024,Clase B
39,39,25/04/2021,25/04/2026,Clase A4
95,95,04/12/2022,04/12/2027,Clase A5
143,143,25/06/2022,25/06/2027,Clase A5
79,79,09/05/2018,09/05/2023,Clase A4
109,109,21/11/2018,21/11/2023,Clase B
42,42,13/01/2019,13/01/2024,Clase A4
42,42,13/01/2019,13/01/2024,Clase A4
25,25,08/10/2019,08/10/2024,Clase C
197,197,13/11/2020,13/11/2025,Clase A4
127,127,09/07/2022,09/07/2027,Clase A4
54,54,28/04/2021,28/04/2026,Clase A4
105,105,04/05/2018,04/05/2023,Clase A4
159,159,20/08/2020,20/08/2025,Clase A4
109,109,21/11/2018,21/11/2023,Clase B
31,31,21/09/2020,21/09/2025,Clase A4
124,124,24/12/2020,24/12/2025,Clase C
98,98,28/10/2020,28/10/2025,Clase A5
39,39,25/04/2021,25/04/2026,Clase A4
131,131,23/03/2021,23/03/2026,Clase B
20,20,02/09/2019,02/09/2024,Clase A5
20,20,02/09/2019,02/09/2024,Clase A5
108,108,09/08/2021,09/08/2026,Clase C
125,125,26/12/2018,26/12/2023,Clase A5
47,47,01/07/2022,01/07/2027,Clase A4
5,5,29/09/2020,29/09/2025,Clase C
135,135,26/05/2018,26/05/2023,Clase B
33,33,07/03/2020,07/03/2025,Clase A4
72,72,24/08/2022,24/08/2027,Clase C
140,140,13/01/2020,13/01/2025,Clase A4
13,13,11/01/2022,11/01/2027,Clase B
80,80,20/12/2021,20/12/2026,Clase A5
22,22,23/08/2018,23/08/2023,Clase C
179,179,04/05/2022,04/05/2027,Clase A4
161,161,12/05/2019,12/05/2024,Clase B
88,88,28/03/2022,28/03/2027,Clase A4
4,4,22/02/2018,22/02/2023,Clase A5
46,46,28/01/2021,28/01/2026,Clase A5
38,38,24/02/2021,24/02/2026,Clase A4
82,82,05/07/2020,05/07/2025,Clase C
127,127,09/07/2022,09/07/2027,Clase A4
199,199,01/07/2020,01/07/2025,Clase B
108,108,09/08/2021,09/08/2026,Clase C
117,117,08/01/2022,08/01/2027,Clase B
152,152,17/06/2022,17/06/2027,Clase C
119,119,22/01/2019,22/01/2024,Clase B
102,102,26/04/2021,26/04/2026,Clase A4
70,70,23/07/2020,23/07/2025,Clase B
99,99,11/08/2019,11/08/2024,Clase C
51,51,07/05/2019,07/05/2024,Clase B
50,50,01/11/2019,01/11/2024,Clase A4
92,92,19/08/2020,19/08/2025,Clase B
5,5,29/09/2020,29/09/2025,Clase C
86,86,09/06/2018,09/06/2023,Clase C
137,137,12/04/2018,12/04/2023,Clase A5
144,144,06/01/2018,06/01/2023,Clase C
27,27,29/04/2019,29/04/2024,Clase A4
75,75,23/10/2019,23/10/2024,Clase A4
84,84,22/07/2018,22/07/2023,Clase B
53,53,17/02/2018,17/02/2023,Clase C
40,40,31/10/2018,31/10/2023,Clase C
14,14,13/10/2022,13/10/2027,Clase A4
111,111,09/05/2020,09/05/2025,Clase A5
102,102,26/04/2021,26/04/2026,Clase A4
95,95,04/12/2022,04/12/2027,Clase A5
12,12,10/02/2022,10/02/2027,Clase A4
67,67,09/06/2019,09/06/2024,Clase B
167,167,25/07/2022,25/07/2027,Clase A4
116,116,25/10/2018,25/10/2023,Clase B
113,113,11/07/2020,11/07/2025,Clase C
0,0,21/07/2022,21/07/2027,Clase A5
31,31,21/09/2020,21/09/2025,Clase A4
148,148,08/11/2022,08/11/2027,Clase A5
9,9,06/11/2021,06/11/2026,Clase B
143,143,25/06/2022,25/06/2027,Clase A5
165,165,25/04/2022,25/04/2027,Clase B
76,76,21/05/2019,21/05/2024,Clase A4
10,10,24/11/2021,24/11/2026,Clase B
169,169,28/06/2021,28/06/2026,Clase B
78,78,02/09/2019,02/09/2024,Clase C
174,174,11/02/2020,11/02/2025,Clase B
164,164,17/08/2020,17/08/2025,Clase B
64,64,26/06/2018,26/06/2023,Clase A4
55,55,06/06/2019,06/06/2024,Clase B
120,120,06/06/2022,06/06/2027,Clase C
73,73,29/07/2021,29/07/2026,Clase B
16,16,22/09/2021,22/09/2026,Clase B
119,119,22/01/2019,22/01/2024,Clase B
103,103,16/04/2019,16/04/2024,Clase B
146,146,05/10/2020,05/10/2025,Clase A4
178,178,28/11/2018,28/11/2023,Clase A4
176,176,23/05/2022,23/05/2027,Clase A5
67,67,09/06/2019,09/06/2024,Clase B
51,51,07/05/2019,07/05/2024,Clase B
155,155,29/07/2022,29/07/2027,Clase A5
128,128,03/02/2022,03/02/2027,Clase C
17,17,06/01/2018,06/01/2023,Clase A4
49,49,10/12/2022,10/12/2027,Clase B
4,4,22/02/2018,22/02/2023,Clase A5
129,129,01/05/2020,01/05/2025,Clase B
146,146,05/10/2020,05/10/2025,Clase A4
158,158,02/12/2018,02/12/2023,Clase A4
13,13,11/01/2022,11/01/2027,Clase B
141,141,30/08/2021,30/08/2026,Clase C
87,87,11/04/2020,11/04/2025,Clase A4
65,65,27/06/2021,27/06/2026,Clase B
163,163,07/09/2019,07/09/2024,Clase B
118,118,07/01/2018,07/01/2023,Clase A5
98,98,28/10/2020,28/10/2025,Clase A5
99,99,11/08/2019,11/08/2024,Clase C
70,70,23/07/2020,23/07/2025,Clase B
86,86,09/06/2018,09/06/2023,Clase C
28,28,19/06/2022,19/06/2027,Clase A5
80,80,20/12/2021,20/12/2026,Clase A5
59,59,20/05/2018,20/05/2023,Clase A5
66,66,29/11/2018,29/11/2023,Clase B
195,195,15/11/2019,15/11/2024,Clase A4
89,89,08/09/2020,08/09/2025,Clase A4
87,87,11/04/2020,11/04/2025,Clase A4
172,172,16/11/2019,16/11/2024,Clase C
76,76,21/05/2019,21/05/2024,Clase A4
51,51,07/05/2019,07/05/2024,Clase B
189,189,10/07/2021,10/07/2026,Clase C
81,81,15/05/2021,15/05/2026,Clase B
190,190,10/11/2021,10/11/2026,Clase A4
10,10,24/11/2021,24/11/2026,Clase B
87,87,11/04/2020,11/04/2025,Clase A4
182,182,10/05/2022,10/05/2027,Clase A4
154,154,15/05/2021,15/05/2026,Clase A5
62,62,17/12/2022,17/12/2027,Clase A4
187,187,12/01/2021,12/01/2026,Clase A4
63,63,26/04/2019,26/04/2024,Clase B
144,144,06/01/2018,06/01/2023,Clase C
169,169,28/06/2021,28/06/2026,Clase B
55,55,06/06/2019,06/06/2024,Clase B
38,38,24/02/2021,24/02/2026,Clase A4
161,161,12/05/2019,12/05/2024,Clase B
173,173,07/10/2018,07/10/2023,Clase A4
182,182,10/05/2022,10/05/2027,Clase A4
24,24,23/11/2018,23/11/2023,Clase A5
35,35,07/02/2019,07/02/2024,Clase A5
162,162,02/02/2021,02/02/2026,Clase C
194,194,18/08/2019,18/08/2024,Clase B
21,21,15/01/2019,15/01/2024,Clase A4
130,130,21/06/2022,21/06/2027,Clase C
110,110,27/08/2022,27/08/2027,Clase A4
89,89,08/09/2020,08/09/2025,Clase A4
73,73,29/07/2021,29/07/2026,Clase B
71,71,20/12/2019,20/12/2024,Clase A5
76,76,21/05/2019,21/05/2024,Clase A4
156,156,11/08/2019,11/08/2024,Clase A5
83,83,17/06/2019,17/06/2024,Clase A4
61,61,16/05/2020,16/05/2025,Clase A5
130,130,21/06/2022,21/06/2027,Clase C
116,116,25/10/2018,25/10/2023,Clase B
86,86,09/06/2018,09/06/2023,Clase C
149,149,08/10/2020,08/10/2025,Clase A4
20,20,02/09/2019,02/09/2024,Clase A5
108,108,09/08/2021,09/08/2026,Clase C
96,96,29/03/2022,29/03/2027,Clase B
11,11,16/03/2018,16/03/2023,Clase B
34,34,29/09/2018,29/09/2023,Clase A4
48,48,20/05/2018,20/05/2023,Clase C
162,162,02/02/2021,02/02/2026,Clase C
107,107,22/11/2022,22/11/2027,Clase A5
64,64,26/06/2018,26/06/2023,Clase A4
177,177,29/08/2019,29/08/2024,Clase A5
25,25,08/10/2019,08/10/2024,Clase C
135,135,26/05/2018,26/05/2023,Clase B
45,45,19/10/2019,19/10/2024,Clase A5
151,151,22/11/2022,22/11/2027,Clase B
71,71,20/12/2019,20/12/2024,Clase A5
47,47,01/07/2022,01/07/2027,Clase A4
177,177,29/08/2019,29/08/2024,Clase A5
173,173,07/10/2018,07/10/2023,Clase A4
137,137,12/04/2018,12/04/2023,Clase A5
142,142,06/05/2020,06/05/2025,Clase A5
7,7,24/03/2020,24/03/2025,Clase A4
52,52,20/01/2019,20/01/2024,Clase A5
196,196,04/05/2021,04/05/2026,Clase B
172,172,16/11/2019,16/11/2024,Clase C
121,121,01/02/2022,01/02/2027,Clase B
20,20,02/09/2019,02/09/2024,Clase A5
9,9,06/11/2021,06/11/2026,Clase B
197,197,13/11/2020,13/11/2025,Clase A4
121,121,01/02/2022,01/02/2027,Clase B
12,12,10/02/2022,10/02/2027,Clase A4
37,37,15/03/2020,15/03/2025,Clase A5
129,129,01/05/2020,01/05/2025,Clase B
74,74,19/03/2022,19/03/2027,Clase B
163,163,07/09/2019,07/09/2024,Clase B
107,107,22/11/2022,22/11/2027,Clase A5
170,170,16/10/2019,16/10/2024,Clase C
134,134,10/05/2020,10/05/2025,Clase B
133,133,12/11/2021,12/11/2026,Clase C
188,188,12/12/2021,12/12/2026,Clase C
72,72,24/08/2022,24/08/2027,Clase C
90,90,25/07/2019,25/07/2024,Clase A4
81,81,15/05/2021,15/05/2026,Clase B
186,186,26/01/2019,26/01/2024,Clase A5
17,17,06/01/2018,06/01/2023,Clase A4
68,68,09/12/2019,09/12/2024,Clase A5
138,138,30/04/2022,30/04/2027,Clase B
66,66,29/11/2018,29/11/2023,Clase B
75,75,23/10/2019,23/10/2024,Clase A4
134,134,10/05/2020,10/05/2025,Clase B
157,157,15/04/2021,15/04/2026,Clase A5
160,160,06/09/2021,06/09/2026,Clase A5
164,164,17/08/2020,17/08/2025,Clase B
127,127,09/07/2022,09/07/2027,Clase A4
167,167,25/07/2022,25/07/2027,Clase A4
171,171,20/07/2018,20/07/2023,Clase A5
57,57,11/06/2019,11/06/2024,Clase A4
101,101,09/08/2022,09/08/2027,Clase B
90,90,25/07/2019,25/07/2024,Clase A4
159,159,20/08/2020,20/08/2025,Clase A4
115,115,23/07/2021,23/07/2026,Clase A4
34,34,29/09/2018,29/09/2023,Clase A4
164,164,17/08/2020,17/08/2025,Clase B
107,107,22/11/2022,22/11/2027,Clase A5
55,55,06/06/2019,06/06/2024,Clase B
17,17,06/01/2018,06/01/2023,Clase A4
110,110,27/08/2022,27/08/2027,Clase A4
82,82,05/07/2020,05/07/2025,Clase C
41,41,20/07/2022,20/07/2027,Clase B
44,44,15/11/2022,15/11/2027,Clase A5
48,48,20/05/2018,20/05/2023,Clase C
39,39,25/04/2021,25/04/2026,Clase A4
155,155,29/07/2022,29/07/2027,Clase A5
16,16,22/09/2021,22/09/2026,Clase B
170,170,16/10/2019,16/10/2024,Clase C
115,115,23/07/2021,23/07/2026,Clase A4
39,39,25/04/2021,25/04/2026,Clase A4
131,131,23/03/2021,23/03/2026,Clase B
109,109,21/11/2018,21/11/2023,Clase B
126,126,28/05/2021,28/05/2026,Clase A4
63,63,26/04/2019,26/04/2024,Clase B
120,120,06/06/2022,06/06/2027,Clase C
53,53,17/02/2018,17/02/2023,Clase C
52,52,20/01/2019,20/01/2024,Clase A5
137,137,12/04/2018,12/04/2023,Clase A5
59,59,20/05/2018,20/05/2023,Clase A5
124,124,24/12/2020,24/12/2025,Clase C
76,76,21/05/2019,21/05/2024,Clase A4
14,14,13/10/2022,13/10/2027,Clase A4
29,29,10/06/2022,10/06/2027,Clase A5
104,104,05/02/2018,05/02/2023,Clase A5
75,75,23/10/2019,23/10/2024,Clase A4
175,175,19/01/2021,19/01/2026,Clase B
5,5,29/09/2020,29/09/2025,Clase C
136,136,09/03/2020,09/03/2025,Clase C
188,188,12/12/2021,12/12/2026,Clase C
44,44,15/11/2022,15/11/2027,Clase A5
188,188,12/12/2021,12/12/2026,Clase C
195,195,15/11/2019,15/11/2024,Clase A4
196,196,04/05/2021,04/05/2026,Clase B
173,173,07/10/2018,07/10/2023,Clase A4
28,28,19/06/2022,19/06/2027,Clase A5
48,48,20/05/2018,20/05/2023,Clase C
99,99,11/08/2019,11/08/2024,Clase C
126,126,28/05/2021,28/05/2026,Clase A4
153,153,17/05/2019,17/05/2024,Clase B
192,192,16/12/2021,16/12/2026,Clase A5
111,111,09/05/2020,09/05/2025,Clase A5
141,141,30/08/2021,30/08/2026,Clase C
115,115,23/07/2021,23/07/2026,Clase A4
2,2,10/08/2019,10/08/2024,Clase A4
7,7,24/03/2020,24/03/2025,Clase A4
19,19,07/05/2022,07/05/2027,Clase A4
51,51,07/05/2019,07/05/2024,Clase B
63,63,26/04/2019,26/04/2024,Clase B
117,117,08/01/2022,08/01/2027,Clase B
47,47,01/07/2022,01/07/2027,Clase A4
117,117,08/01/2022,08/01/2027,Clase B
2,2,10/08/2019,10/08/2024,Clase A4
162,162,02/02/2021,02/02/2026,Clase C
42,42,13/01/2019,13/01/2024,Clase A4
