id,id_producto,peso,descripcion
0,1517,1.4,Sin descripcion
2,1653,1.1,Fragil
1,2972,3.4,Sin descripcion
3,2739,9.8,Fragil
0,3494,2.1,Sin descripcion
0,1655,8.6,Fragil
3,1321,9.4,Sin descripcion
2,3216,3.5,Fragil
4,3160,6.4,Fragil
0,3061,2.3,Sin descripcion
4,1641,5.4,Sin descripcion
0,3376,3.3,Sin descripcion
0,3492,2.0,Fragil
2,1980,8.3,Fragil
2,1974,10.0,Sin descripcion
2,965,3.2,Sin descripcion
3,1704,9.2,Sin descripcion
2,1114,2.8,Sin descripcion
3,1303,5.1,Fragil
3,1311,9.6,Sin descripcion
3,1818,10.5,Sin descripcion
3,2090,5.7,Fragil
4,1218,5.5,Sin descripcion
1,3562,5.6,Sin descripcion
2,324,3.8,Fragil
1,1164,9.2,Fragil
2,944,10.2,Sin descripcion
0,1715,10.9,Fragil
0,3151,6.8,Fragil
0,2720,6.2,Sin descripcion
2,1450,8.0,Fragil
0,2299,10.5,Sin descripcion
0,2672,5.0,Sin descripcion
1,3252,8.1,Sin descripcion
1,1525,6.9,Sin descripcion
0,3168,2.1,Fragil
1,2990,3.4,Sin descripcion
0,2442,5.9,Sin descripcion
3,1400,10.2,Fragil
2,2060,3.7,Fragil
1,1779,10.0,Sin descripcion
2,918,7.5,Sin descripcion
1,1566,4.0,Sin descripcion
0,984,6.2,Sin descripcion
0,2742,7.9,Sin descripcion
2,2644,3.8,Sin descripcion
0,1827,6.9,Sin descripcion
0,3164,5.1,Sin descripcion
3,1650,9.7,Sin descripcion
2,442,1.8,Fragil
0,3411,4.4,Fragil
2,3575,3.7,Fragil
2,1937,7.5,Fragil
1,3367,1.4,Sin descripcion
1,988,10.7,Fragil
1,3162,2.8,Sin descripcion
1,637,7.8,Sin descripcion
3,2068,1.6,Sin descripcion
0,3077,10.5,Sin descripcion
2,3453,1.1,Sin descripcion
3,1590,4.3,Sin descripcion
1,3545,1.4,Sin descripcion
0,2055,1.2,Sin descripcion
0,449,8.4,Fragil
1,3717,6.9,Fragil
3,2237,3.8,Fragil
3,708,9.9,Sin descripcion
0,582,5.5,Sin descripcion
2,1676,4.4,Sin descripcion
2,3033,4.8,Fragil
2,3561,9.9,Fragil
3,2715,6.6,Fragil
0,3609,5.8,Sin descripcion
3,3658,10.8,Fragil
0,1511,4.1,Sin descripcion
2,311,5.4,Fragil
1,3423,7.0,Sin descripcion
1,2060,9.5,Fragil
2,2815,4.1,Fragil
0,1372,2.4,Sin descripcion
2,1124,2.4,Sin descripcion
0,3570,8.0,Fragil
2,2574,7.1,Sin descripcion
3,826,6.3,Sin descripcion
3,3418,1.4,Fragil
0,3622,6.7,Fragil
1,3524,8.7,Sin descripcion
3,1221,3.1,Sin descripcion
2,3453,1.1,Sin descripcion
1,93,3.7,Sin descripcion
0,2911,9.9,Sin descripcion
1,55,1.0,Fragil
0,2827,6.8,Sin descripcion
3,688,4.4,Sin descripcion
2,1600,2.3,Sin descripcion
2,1557,6.4,Sin descripcion
0,2717,1.7,Sin descripcion
0,2271,5.0,Fragil
1,1664,2.4,Fragil
0,2194,10.0,Fragil
0,3424,1.4,Sin descripcion
2,460,7.8,Fragil
2,1726,4.0,Fragil
2,3517,9.3,Fragil
2,2544,9.9,Fragil
4,961,6.0,Fragil
0,3573,2.6,Sin descripcion
1,3452,10.7,Fragil
1,2964,2.1,Sin descripcion
0,1206,5.9,Fragil
0,3250,10.5,Fragil
0,2,9.7,Fragil
2,2859,8.0,Sin descripcion
3,3048,7.4,Fragil
0,1648,4.7,Sin descripcion
3,1474,9.1,Sin descripcion
0,2967,6.7,Sin descripcion
1,3182,5.8,Sin descripcion
2,93,8.3,Sin descripcion
1,3100,2.1,Fragil
1,166,10.4,Sin descripcion
3,2232,5.2,Sin descripcion
1,1926,7.3,Fragil
1,1134,7.3,Fragil
0,2749,7.9,Fragil
1,598,2.9,Sin descripcion
0,2660,3.6,Sin descripcion
0,1665,10.0,Fragil
0,3506,1.8,Fragil
1,1770,5.4,Sin descripcion
0,2806,3.1,Sin descripcion
0,3555,5.3,Fragil
4,3077,7.7,Fragil
0,3516,10.6,Fragil
1,1597,5.9,Sin descripcion
1,625,1.1,Sin descripcion
0,630,4.5,Fragil
1,2053,8.2,Sin descripcion
0,1368,9.6,Fragil
1,3206,5.9,Fragil
2,3572,10.7,Fragil
0,1859,1.3,Sin descripcion
3,1871,1.5,Sin descripcion
2,2826,8.8,Sin descripcion
2,2108,6.9,Sin descripcion
0,2995,1.5,Fragil
2,1751,10.6,Fragil
4,2826,5.8,Sin descripcion
1,3153,8.4,Sin descripcion
1,1707,1.2,Sin descripcion
0,1574,2.1,Sin descripcion
1,3139,1.7,Sin descripcion
1,223,6.4,Fragil
0,440,10.2,Fragil
1,3709,7.4,Sin descripcion
0,3350,3.2,Sin descripcion
0,2091,2.9,Sin descripcion
0,3050,1.0,Fragil
1,549,1.9,Sin descripcion
3,3182,5.8,Sin descripcion
0,482,4.0,Sin descripcion
0,3408,8.5,Sin descripcion
1,13,1.4,Sin descripcion
3,260,4.9,Fragil
2,1533,5.8,Fragil
0,3436,6.5,Fragil
0,1704,3.1,Sin descripcion
3,3324,1.6,Sin descripcion
3,943,3.6,Fragil
0,2689,7.3,Sin descripcion
4,737,10.3,Fragil
4,3282,10.3,Fragil
4,2607,8.1,Sin descripcion
3,3241,8.4,Sin descripcion
1,3336,4.5,Fragil
2,2929,2.2,Fragil
3,2544,9.6,Fragil
1,3009,4.9,Fragil
3,298,6.8,Fragil
2,1361,2.2,Fragil
0,3447,1.7,Fragil
0,1502,8.4,Fragil
1,1709,5.7,Sin descripcion
2,2117,8.2,Sin descripcion
1,3168,10.9,Fragil
1,3727,7.0,Fragil
0,3539,7.6,Sin descripcion
0,2684,8.7,Fragil
0,226,8.1,Fragil
1,1281,7.1,Sin descripcion
1,1813,6.0,Sin descripcion
1,182,9.1,Sin descripcion
3,1327,5.7,Fragil
0,42,6.4,Sin descripcion
1,553,2.6,Sin descripcion
0,3150,8.8,Sin descripcion
2,1868,10.3,Sin descripcion
1,2414,6.5,Fragil
0,1778,5.5,Sin descripcion
0,3275,1.1,Sin descripcion
3,3402,7.1,Sin descripcion
2,691,4.0,Fragil
0,2538,7.2,Fragil
4,2758,4.7,Sin descripcion
2,3640,8.2,Sin descripcion
1,3550,8.4,Fragil
4,3606,5.6,Fragil
0,2735,1.6,Fragil
0,2570,6.1,Fragil
3,182,2.6,Sin descripcion
0,3223,2.7,Fragil
2,2760,7.3,Sin descripcion
2,2784,7.2,Sin descripcion
0,3524,8.0,Fragil
0,911,7.9,Sin descripcion
1,276,5.3,Sin descripcion
0,359,10.1,Fragil
0,2907,4.0,Sin descripcion
1,1853,1.5,Sin descripcion
0,204,6.4,Fragil
1,1271,10.4,Fragil
0,3100,7.6,Fragil
4,3598,3.4,Fragil
0,2998,9.7,Fragil
2,3052,5.9,Sin descripcion
1,1861,10.4,Fragil
2,3416,1.5,Sin descripcion
1,3255,6.6,Sin descripcion
2,3035,7.7,Fragil
2,2838,8.1,Fragil
1,2309,3.5,Sin descripcion
0,1044,1.4,Fragil
1,3165,4.6,Fragil
2,874,2.1,Sin descripcion
1,3026,3.4,Sin descripcion
2,3035,7.7,Fragil
3,2933,7.7,Fragil
3,3504,3.0,Fragil
0,494,5.0,Fragil
1,99,2.9,Sin descripcion
1,2379,2.1,Sin descripcion
0,905,9.5,Fragil
0,0,3.3,Fragil
2,395,4.5,Fragil
2,3656,5.8,Fragil
3,635,9.0,Fragil
1,1010,8.9,Sin descripcion
4,3290,1.4,Fragil
0,3382,6.9,Sin descripcion
4,455,8.5,Fragil
2,3006,2.3,Fragil
1,723,2.2,Fragil
3,1805,5.8,Sin descripcion
0,7,6.1,Fragil
2,779,6.4,Sin descripcion
3,1485,10.9,Fragil
2,3647,9.7,Sin descripcion
0,138,2.1,Fragil
1,3470,4.8,Sin descripcion
3,132,9.4,Fragil
0,1687,6.3,Sin descripcion
4,1495,6.6,Sin descripcion
3,3021,9.7,Sin descripcion
0,3240,4.4,Sin descripcion
1,846,5.8,Sin descripcion
0,3429,8.8,Fragil
0,749,3.0,Sin descripcion
1,3539,3.3,Fragil
2,3642,7.9,Fragil
4,3275,5.4,Sin descripcion
2,1917,5.4,Sin descripcion
3,2367,9.9,Sin descripcion
4,3662,9.7,Sin descripcion
1,1641,6.1,Fragil
0,2184,10.3,Fragil
0,1630,10.3,Fragil
3,3236,1.9,Sin descripcion
0,1223,8.0,Sin descripcion
0,3304,5.5,Sin descripcion
1,3079,1.8,Sin descripcion
2,475,1.6,Sin descripcion
2,2443,10.0,Fragil
2,621,9.1,Sin descripcion
0,3118,1.4,Sin descripcion
2,3320,5.5,Fragil
3,1284,2.3,Fragil
0,848,5.5,Fragil
2,1366,10.4,Sin descripcion
0,656,9.8,Sin descripcion
0,2381,3.7,Fragil
2,3203,9.5,Sin descripcion
3,3106,5.2,Sin descripcion
0,1341,7.3,Fragil
1,747,3.3,Fragil
3,3302,3.8,Fragil
3,501,1.8,Fragil
2,376,5.4,Sin descripcion
0,2430,3.1,Sin descripcion
0,2202,4.5,Fragil
2,1570,5.7,Fragil
3,788,2.8,Sin descripcion
1,196,6.2,Fragil
0,568,10.6,Fragil
0,729,5.6,Fragil
1,647,9.0,Fragil
2,666,7.4,Fragil
2,3079,2.2,Sin descripcion
0,3284,2.4,Fragil
0,3190,4.1,Sin descripcion
0,2414,6.0,Fragil
2,1153,1.7,Fragil
1,2570,7.5,Sin descripcion
1,3204,10.2,Fragil
4,1861,9.8,Sin descripcion
1,2533,3.7,Sin descripcion
2,3459,8.8,Fragil
0,472,10.4,Fragil
0,955,5.6,Fragil
1,900,1.0,Fragil
1,329,9.6,Sin descripcion
2,53,10.3,Fragil
0,1120,10.9,Fragil
0,3300,4.0,Sin descripcion
0,3153,10.8,Fragil
3,1209,8.2,Sin descripcion
3,3051,1.2,Sin descripcion
1,3260,10.1,Sin descripcion
0,243,9.3,Fragil
4,1534,2.3,Fragil
1,3373,3.2,Sin descripcion
4,3668,7.5,Sin descripcion
0,3138,4.4,Fragil
0,473,8.2,Fragil
0,594,6.2,Sin descripcion
1,2548,10.6,Fragil
3,796,10.9,Fragil
0,3456,8.9,Fragil
1,3167,6.6,Fragil
2,3347,8.5,Sin descripcion
2,1439,1.5,Fragil
1,1570,8.3,Fragil
1,3230,5.8,Fragil
1,304,4.6,Sin descripcion
0,1237,10.7,Fragil
1,1791,9.1,Fragil
1,3433,10.8,Sin descripcion
0,1638,6.6,Sin descripcion
1,886,6.8,Fragil
0,2698,2.3,Fragil
4,1447,10.5,Fragil
0,1474,8.8,Sin descripcion
1,1823,9.4,Fragil
0,3086,6.6,Fragil
1,1468,9.3,Sin descripcion
2,3111,1.7,Sin descripcion
4,2662,10.8,Fragil
3,3619,1.0,Fragil
2,1377,2.1,Fragil
1,3631,2.8,Sin descripcion
0,430,5.2,Fragil
4,1284,7.4,Sin descripcion
2,1283,1.3,Sin descripcion
1,3249,10.8,Fragil
0,3702,5.9,Sin descripcion
1,3536,4.2,Sin descripcion
4,35,10.0,Sin descripcion
1,3351,2.1,Sin descripcion
0,3432,1.0,Sin descripcion
1,3447,1.9,Sin descripcion
2,1198,8.5,Fragil
3,1900,5.3,Sin descripcion
1,3385,8.6,Sin descripcion
2,2819,2.5,Fragil
0,2763,9.6,Fragil
3,604,6.4,Fragil
0,3627,4.4,Fragil
0,2312,1.4,Sin descripcion
0,347,5.4,Fragil
0,3648,9.5,Fragil
1,651,5.9,Sin descripcion
1,941,7.5,Sin descripcion
1,3679,4.6,Sin descripcion
0,2206,6.3,Fragil
0,2508,9.0,Fragil
0,828,10.0,Sin descripcion
3,1224,1.5,Fragil
1,1968,10.2,Fragil
1,1975,6.6,Fragil
2,3378,2.6,Sin descripcion
3,1298,7.8,Fragil
1,3283,2.8,Fragil
0,1425,5.2,Fragil
0,116,3.1,Fragil
4,626,2.9,Sin descripcion
3,703,6.2,Fragil
1,3398,8.9,Sin descripcion
1,178,10.6,Sin descripcion
2,2549,8.2,Sin descripcion
2,3462,6.2,Sin descripcion
2,1261,4.0,Fragil
1,2404,6.4,Fragil
3,3601,7.3,Sin descripcion
4,3288,3.6,Fragil
0,2413,2.5,Sin descripcion
0,2750,4.9,Fragil
2,91,5.1,Sin descripcion
1,1509,1.2,Sin descripcion
2,3343,9.0,Sin descripcion
3,2170,6.9,Fragil
1,3145,9.3,Fragil
3,40,1.0,Sin descripcion
1,344,1.6,Sin descripcion
0,3711,6.4,Sin descripcion
0,2099,2.5,Fragil
0,1529,9.8,Fragil
1,466,8.9,Fragil
0,1215,4.4,Sin descripcion
1,683,10.9,Sin descripcion
0,1513,3.5,Sin descripcion
4,1014,4.1,Sin descripcion
1,835,10.5,Sin descripcion
2,798,8.2,Sin descripcion
3,2576,6.9,Sin descripcion
0,1181,3.9,Fragil
1,3087,2.9,Fragil
4,77,8.2,Fragil
1,2284,5.8,Fragil
0,966,8.2,Sin descripcion
1,1818,9.0,Fragil
0,1146,3.8,Fragil
4,1217,5.8,Sin descripcion
3,2295,2.0,Sin descripcion
1,3117,8.1,Sin descripcion
3,837,4.3,Sin descripcion
0,2068,3.0,Sin descripcion
1,204,4.8,Sin descripcion
0,383,7.3,Fragil
3,3496,5.1,Sin descripcion
1,2543,2.1,Sin descripcion
4,383,9.2,Fragil
1,2808,8.2,Sin descripcion
4,3098,1.0,Sin descripcion
1,1848,1.5,Fragil
0,1531,3.9,Fragil
3,3061,10.3,Sin descripcion
1,3683,9.3,Sin descripcion
0,3521,10.2,Sin descripcion
1,62,5.4,Sin descripcion
2,3614,10.0,Sin descripcion
2,2749,4.0,Fragil
2,1880,10.0,Sin descripcion
4,2097,1.3,Sin descripcion
4,1187,10.4,Fragil
0,1083,7.3,Sin descripcion
2,3094,4.1,Sin descripcion
2,3423,5.3,Fragil
3,3149,4.8,Sin descripcion
0,3011,4.0,Sin descripcion
1,1825,5.9,Fragil
1,2106,1.4,Fragil
0,1440,3.4,Fragil
0,1597,3.6,Sin descripcion
2,2390,2.2,Sin descripcion
2,362,10.9,Fragil
1,1030,8.3,Fragil
0,3478,2.0,Sin descripcion
1,2864,6.1,Sin descripcion
0,2280,8.5,Fragil
3,3175,4.4,Fragil
1,3072,2.9,Fragil
3,3055,5.1,Fragil
0,637,4.5,Sin descripcion
2,1963,5.0,Sin descripcion
2,1646,8.1,Sin descripcion
1,3035,9.7,Sin descripcion
3,1878,9.3,Sin descripcion
0,1011,6.8,Fragil
0,3215,1.5,Sin descripcion
1,2458,7.4,Sin descripcion
1,801,4.4,Fragil
1,2559,10.5,Sin descripcion
2,2299,8.8,Fragil
1,1671,6.3,Sin descripcion
2,1588,8.4,Sin descripcion
2,743,6.1,Sin descripcion
1,40,4.1,Sin descripcion
1,3156,1.4,Fragil
3,828,1.4,Fragil
4,3264,9.4,Sin descripcion
3,3586,7.7,Sin descripcion
1,2225,10.7,Fragil
0,1853,8.9,Sin descripcion
1,3375,4.6,Fragil
2,3520,9.2,Sin descripcion
4,496,10.7,Fragil
3,890,2.6,Fragil
0,40,1.7,Sin descripcion
2,301,3.5,Sin descripcion
1,2234,4.8,Fragil
2,3354,4.9,Fragil
1,2491,6.9,Fragil
2,2920,10.8,Sin descripcion
2,3497,9.4,Fragil
0,1407,9.6,Fragil
2,1951,9.4,Sin descripcion
1,1060,9.7,Sin descripcion
3,177,1.3,Sin descripcion
1,3310,2.0,Sin descripcion
1,42,5.4,Sin descripcion
3,1952,2.1,Sin descripcion
1,3625,10.2,Sin descripcion
1,334,9.2,Fragil
0,92,3.3,Fragil
2,840,4.3,Sin descripcion
1,2738,1.5,Sin descripcion
2,3041,5.6,Sin descripcion
1,1155,10.5,Sin descripcion
0,1640,4.0,Fragil
4,3631,9.5,Sin descripcion
1,611,4.8,Sin descripcion
2,3552,8.0,Fragil
1,138,1.5,Sin descripcion
3,1609,7.5,Sin descripcion
1,2999,1.9,Sin descripcion
1,554,1.9,Fragil
2,192,9.9,Sin descripcion
0,2872,1.4,Fragil
2,3282,7.7,Fragil
1,19,1.4,Sin descripcion
0,3045,7.4,Fragil
1,1039,10.1,Sin descripcion
1,2716,10.3,Fragil
3,341,9.5,Sin descripcion
1,2473,8.3,Sin descripcion
3,1935,7.2,Fragil
1,1426,2.8,Fragil
0,2143,8.2,Fragil
2,3624,8.5,Fragil
2,3276,5.6,Fragil
0,2023,2.0,Sin descripcion
1,3207,1.6,Sin descripcion
3,2465,2.1,Fragil
0,1139,5.2,Sin descripcion
0,3484,5.4,Sin descripcion
3,250,6.6,Fragil
3,3413,5.6,Sin descripcion
2,3297,5.4,Fragil
1,1616,2.0,Sin descripcion
0,1477,8.0,Sin descripcion
2,3275,7.5,Fragil
3,2585,10.3,Sin descripcion
0,2953,7.1,Sin descripcion
0,79,4.6,Sin descripcion
0,3264,8.1,Sin descripcion
1,616,5.9,Sin descripcion
0,3387,10.9,Fragil
2,1834,4.2,Sin descripcion
4,3428,6.1,Sin descripcion
1,3172,10.6,Fragil
3,308,9.3,Sin descripcion
0,3573,2.6,Sin descripcion
0,3155,5.9,Fragil
2,605,3.0,Fragil
0,3583,8.8,Sin descripcion
1,3136,4.7,Sin descripcion
0,132,3.6,Fragil
1,354,2.7,Fragil
0,1020,7.2,Fragil
1,792,5.1,Sin descripcion
2,73,10.2,Fragil
1,816,6.1,Sin descripcion
0,2260,9.0,Sin descripcion
3,3085,2.3,Sin descripcion
1,2867,2.6,Sin descripcion
0,2846,7.3,Sin descripcion
4,3477,10.7,Fragil
3,3084,7.1,Sin descripcion
4,589,1.3,Fragil
3,2492,3.7,Sin descripcion
0,3448,4.1,Sin descripcion
2,574,7.2,Fragil
3,1174,7.9,Sin descripcion
1,345,3.3,Sin descripcion
1,2957,9.3,Sin descripcion
3,3335,6.5,Fragil
0,797,9.3,Sin descripcion
0,395,1.3,Fragil
2,3148,3.2,Sin descripcion
1,1748,7.6,Fragil
4,2090,1.4,Sin descripcion
0,3360,5.0,Sin descripcion
1,3325,7.5,Sin descripcion
0,3110,2.2,Fragil
1,110,9.2,Sin descripcion
0,2593,1.0,Fragil
1,1168,1.8,Sin descripcion
1,358,7.5,Fragil
0,1271,7.3,Fragil
1,3497,10.9,Fragil
1,1116,9.8,Sin descripcion
1,2524,2.1,Fragil
0,1811,10.7,Fragil
0,2722,4.6,Sin descripcion
4,3334,9.8,Fragil
0,1451,1.6,Fragil
1,3129,1.7,Fragil
0,3324,2.8,Sin descripcion
1,3700,9.0,Fragil
0,1414,6.4,Sin descripcion
1,2084,8.2,Sin descripcion
0,2358,3.8,Sin descripcion
0,293,9.0,Sin descripcion
3,1021,8.8,Fragil
2,959,4.4,Fragil
0,2952,4.8,Fragil
2,1902,7.0,Fragil
1,3202,7.8,Fragil
